,role,company,when_posted,sector,industry,region,district,salary,summary
0,Data Analyst,Turuki Health Care,15h ago,Information & Communication Technology,Business/Systems Analysts,Auckland,Manukau & East Auckland,,Support whanau in the community by recognizing data trends and identifying process improvement opportunities within Turuki
1,Data Analyst,Farmside,2d ago,Information & Communication Technology,Business/Systems Analysts,Canterbury,Timaru & South Canterbury,,Tech savvy analyst required for busy nationwide telco.
2,Data Analyst,Southern Cross Healthcare (NZ),4d ago,Government & Defence,Government,Auckland,Auckland Central,,An exciting opportunity to build and deliver analytics and insights across Southern Cross Healthcare.
3,Assistant Data Analyst,GBL Personnel,1d ago,Administration & Office Support,Other,Wellington,Wellington Central,,"We need your excellent administrative experience, analysis and MS Excel skills for this ongoing long term assignment starting ASAP."
4,Data Analyst,"Ministry of Business, Innovation and Employment",6d ago,Information & Communication Technology,Other,Wellington,Wellington Central,From 69362 to 82837 NZD per year,An exciting role for an experienced Data Analyst within our expanding team of experts based in Wellington.
5,Data Analyst - Contract,Talent – Winner SEEK Large Recruitment Agency of the Year 2019,14h ago,Information & Communication Technology,Database Development & Administration,Auckland,Auckland Central,competitive $,"Immediate start available for a contract Data Analyst, apply today!"
6,Business Intelligence Developer / Data Analyst,Watercare Services Limited,11h ago,Information & Communication Technology,Business/Systems Analysts,Auckland,Auckland Central,,We have an awesome opportunity for an experienced Business Intelligence Developer/Data Analyst to join our team - get in touch today!
7,Database Support Analyst,Wise Group,3d ago,Information & Communication Technology,Business/Systems Analysts,Waikato,Hamilton,$55k - $65k p.a.,"Fantastic career opportunity for a bright spark with aptitude & interest in SQL databases - challenging, rewarding work in a fun & collaborative team"
8,Statistical And Data Analyst – Integrated Data Production,Stats NZ,1d ago,Information & Communication Technology,Business/Systems Analysts,Wellington,Wellington Central,,"Play your part in contributing to meaningful outcomes, About Aotearoa, for Aotearoa – data that improves lives today and for generations to come."
9,Data Analyst,Leighs Construction,7d ago,Information & Communication Technology,Business/Systems Analysts,Canterbury,Christchurch,,We're looking for a Data Analyst to join our Christchurch Team
10,Junior Quantitative Analyst,BNZ,2d ago,Banking & Financial Services,Compliance & Risk,Auckland,Auckland Central,,"Support the development, implementation, communication and monitoring of BNZ's retail and retail SME credit risk models and decision strategies."
11,Statistical And Data Analyst – Integrated Data Production,Stats NZ,1d ago,Government & Defence,Government,Wellington,Wellington Central,,"Play your part in contributing to meaningful outcomes, About Aotearoa, for Aotearoa – data that improves lives today and for generations to come."
12,Insights Analyst,Tourism Holdings Limited (THL),2d ago,Information & Communication Technology,Business/Systems Analysts,Auckland,Auckland Central,"$80,000 to $99,999 per annum","The Data and Insights team's role is to design and develop data solutions that help the business make smart, insight-driven decisions."
13,Data Analyst,Port Nelson,7d ago,Information & Communication Technology,Business/Systems Analysts,Tasman,Nelson,,"Are you naturally curious? Always look for the meaning...the “why”...behind the numbers.
Recent graduate with excellent communications skills."
14,Junior Commercial Analyst,TVNZ,2d ago,Sales,Analysis & Reporting,Auckland,Auckland Central,"5 weeks annual leave, broadband allowance",The role of the Junior Commercial Analyst is to support the Commercial Analysts in the delivery of revenue optimising outcomes.
15,Business Intelligence (Data & Analytics) Developer,Synlait Milk Ltd,11h ago,Information & Communication Technology,Database Development & Administration,Canterbury,Christchurch,,We are seeking a Data & Analytics (Business Intelligence) Developer to join our Information Services team.
16,Business Intelligence Data & Analytics – Various opportunities,Canterbury District Health Board,3d ago,Information & Communication Technology,Business/Systems Analysts,Canterbury,Christchurch,,Christchurch
17,Data Analyst,Ministry of Education,6d ago,Government & Defence,Government,Wellington,Wellington Central,,"Can you problem-solve data integrity issues, communicate well with stakeholders and deliver high quality data to deadlines?"
18,Junior Campaign Analyst,Momentum Consulting Group,3d ago,Marketing & Communications,Market Research & Analysis,Wellington,Wellington Central,,A golden opportunity for Junior Campaign Analyst to join one of NZ's best-loved organisations in an exciting and varied role.
